GlassType,Google Glass,,,,Epson BT-200,,
Intent,On-Body,In-Air,Phone,,On-Body,In-Air,Phone
07移至特定位置,10,9,5,,8,14,2,
06交換物件位置,8,9,7,,6,11,7,
17Control 3D Viewport,7,11,6,,6,12,6,
13Avator Jump,9,9,6,,9,8,7,
08表達一條Path,14,8,2,,12,9,3,
15Avator Attack,7,8,9,,7,8,9,
01單選物件,9,8,7,,7,11,6,
12Y軸Rotate,13,11,0,,12,12,0,
11Z軸Rotate,6,14,4,,5,15,4,
14Avator 3D Move ,9,8,7,,10,6,8,
02選單選項(直),16,5,3,,11,11,2,
10配合節奏打不同音調,11,9,4,,11,9,4,
03選單選項(橫),11,8,5,,9,11,4,
04左右移動,9,10,5,,8,13,3,
05上下左右移動,8,8,8,,6,11,7,
16Avator Duck,9,7,8,,9,7,8,
09表達2D發射向量,8,12,4,,7,13,4,
