glassType,rating
Epson,5
Epson,4
Epson,3
Epson,3
Epson,5
Epson,4
Epson,4
Epson,2
Epson,3
Epson,5
Epson,4
Epson,5
Epson,3
Epson,3
Epson,4
Epson,3
Epson,3
Epson,5
Epson,4
Epson,5
Epson,5
Epson,4
Epson,5
Epson,3
Google,4
Google,4
Google,3
Google,3
Google,5
Google,4
Google,4
Google,2
Google,3
Google,5
Google,4
Google,5
Google,3
Google,3
Google,4
Google,3
Google,3
Google,4
Google,4
Google,5
Google,5
Google,3
Google,5
Google,3
Epson,4
Epson,5
Epson,3
Epson,4
Epson,4
Epson,3
Epson,4
Epson,2
Epson,3
Epson,4
Epson,3
Epson,4
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,3
Epson,4
Epson,5
Epson,3
Google,4
Google,5
Google,3
Google,4
Google,5
Google,3
Google,4
Google,2
Google,3
Google,3
Google,3
Google,4
Google,3
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,3
Google,4
Google,5
Google,4
Epson,4
Epson,5
Epson,2
Epson,4
Epson,4
Epson,5
Epson,3
Epson,2
Epson,2
Epson,1
Epson,5
Epson,3
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,5
Epson,4
Google,4
Google,5
Google,2
Google,4
Google,4
Google,4
Google,3
Google,2
Google,2
Google,1
Google,5
Google,3
Google,3
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,5
Google,5
Google,4
Epson,4
Epson,5
Epson,4
Epson,4
Epson,4
Epson,3
Epson,5
Epson,3
Epson,5
Epson,3
Epson,4
Epson,5
Epson,4
Epson,2
Epson,4
Epson,3
Epson,3
Epson,5
Epson,3
Epson,5
Epson,5
Epson,5
Epson,4
Epson,3
Google,4
Google,5
Google,3
Google,4
Google,4
Google,2
Google,5
Google,3
Google,5
Google,3
Google,4
Google,5
Google,4
Google,2
Google,4
Google,3
Google,3
Google,4
Google,3
Google,4
Google,4
Google,3
Google,4
Google,4
Epson,4
Epson,5
Epson,4
Epson,3
Epson,5
Epson,3
Epson,4
Epson,4
Epson,5
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,5
Epson,4
Google,4
Google,5
Google,4
Google,3
Google,5
Google,3
Google,4
Google,4
Google,5
Google,4
Google,4
Google,4
Google,4
Google,4
Google,5
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,5
Google,5
Google,4
Epson,4
Epson,4
Epson,3
Epson,4
Epson,2
Epson,4
Epson,4
Epson,3
Epson,5
Epson,3
Epson,4
Epson,3
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Epson,3
Epson,3
Epson,5
Epson,3
Epson,4
Epson,5
Epson,4
Google,4
Google,4
Google,3
Google,4
Google,2
Google,4
Google,4
Google,3
Google,5
Google,3
Google,4
Google,3
Google,3
Google,4
Google,4
Google,4
Google,4
Google,3
Google,3
Google,5
Google,3
Google,4
Google,5
Google,4
Epson,4
Epson,5
Epson,3
Epson,4
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,4
Epson,5
Epson,3
Epson,4
Epson,5
Epson,3
Epson,3
Epson,5
Epson,3
Epson,5
Epson,5
Epson,4
Epson,5
Epson,3
Google,4
Google,5
Google,3
Google,4
Google,3
Google,3
Google,4
Google,4
Google,4
Google,5
Google,4
Google,5
Google,3
Google,4
Google,5
Google,3
Google,3
Google,5
Google,3
Google,4
Google,5
Google,2
Google,5
Google,3
Epson,4
Epson,5
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,4
Epson,3
Epson,5
Epson,4
Epson,4
Epson,3
Epson,3
Epson,5
Epson,3
Epson,5
Epson,4
Epson,3
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Google,4
Google,5
Google,4
Google,4
Google,4
Google,4
Google,4
Google,4
Google,3
Google,5
Google,3
Google,4
Google,3
Google,3
Google,5
Google,3
Google,5
Google,4
Google,3
Google,3
Google,4
Google,4
Google,4
Google,4
Epson,4
Epson,4
Epson,2
Epson,4
Epson,3
Epson,4
Epson,4
Epson,3
Epson,3
Epson,5
Epson,4
Epson,3
Epson,3
Epson,3
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,4
Epson,3
Epson,5
Epson,4
Epson,4
Google,4
Google,4
Google,2
Google,4
Google,3
Google,4
Google,4
Google,3
Google,3
Google,5
Google,4
Google,3
Google,3
Google,3
Google,4
Google,4
Google,4
Google,4
Google,5
Google,4
Google,3
Google,5
Google,4
Google,4
Epson,4
Epson,5
Epson,4
Epson,4
Epson,4
Epson,3
Epson,4
Epson,3
Epson,2
Epson,5
Epson,4
Epson,5
Epson,4
Epson,3
Epson,4
Epson,4
Epson,3
Epson,4
Epson,5
Epson,5
Epson,5
Epson,4
Epson,4
Epson,2
Google,3
Google,5
Google,4
Google,4
Google,5
Google,3
Google,4
Google,3
Google,2
Google,5
Google,4
Google,5
Google,4
Google,3
Google,4
Google,4
Google,3
Google,4
Google,5
Google,5
Google,3
Google,4
Google,4
Google,2
Epson,4
Epson,5
Epson,4
Epson,3
Epson,4
Epson,3
Epson,4
Epson,4
Epson,3
Epson,3
Epson,2
Epson,4
Epson,4
Epson,3
Epson,5
Epson,4
Epson,5
Epson,4
Epson,5
Epson,3
Epson,3
Epson,3
Epson,5
Epson,4
Google,4
Google,5
Google,4
Google,3
Google,4
Google,5
Google,4
Google,4
Google,3
Google,3
Google,3
Google,4
Google,4
Google,3
Google,5
Google,4
Google,5
Google,4
Google,5
Google,3
Google,3
Google,3
Google,5
Google,4
Epson,4
Epson,4
Epson,3
Epson,4
Epson,4
Epson,3
Epson,4
Epson,4
Epson,3
Epson,5
Epson,4
Epson,3
Epson,3
Epson,5
Epson,4
Epson,4
Epson,4
Epson,4
Epson,5
Epson,4
Epson,3
Epson,5
Epson,5
Epson,4
Google,4
Google,4
Google,3
Google,4
Google,4
Google,3
Google,4
Google,4
Google,3
Google,5
Google,4
Google,3
Google,3
Google,5
Google,4
Google,4
Google,4
Google,4
Google,5
Google,4
Google,3
Google,5
Google,5
Google,4
Epson,4
Epson,5
Epson,4
Epson,3
Epson,3
Epson,3
Epson,4
Epson,3
Epson,5
Epson,2
Epson,5
Epson,5
Epson,3
Epson,2
Epson,5
Epson,3
Epson,4
Epson,5
Epson,5
Epson,4
Epson,5
Epson,3
Epson,5
Epson,2
Google,4
Google,5
Google,4
Google,3
Google,3
Google,3
Google,4
Google,3
Google,3
Google,2
Google,5
Google,5
Google,3
Google,2
Google,5
Google,3
Google,4
Google,5
Google,5
Google,4
Google,5
Google,4
Google,5
Google,2
Epson,4
Epson,5
Epson,4
Epson,3
Epson,4
Epson,3
Epson,4
Epson,3
Epson,2
Epson,3
Epson,4
Epson,5
Epson,3
Epson,3
Epson,4
Epson,4
Epson,5
Epson,5
Epson,5
Epson,3
Epson,4
Epson,4
Epson,5
Epson,4
Google,4
Google,5
Google,4
Google,3
Google,4
Google,3
Google,4
Google,3
Google,5
Google,3
